ETER_ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,Url,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,domain_without_www
FR0002,Université de technologie de Troyes,public,Other,Yes,www.utt.fr,FRF2,Champagne-Ardenne,Champagne-Ardenne,FRF22,Aube,Aube,utt.fr
FR0003,École de l'air,public,Other,No,www.ecole-air-espace.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,ecole-air-espace.fr
FR0004,École nationale supérieure d'architecture de Marseille,public,Other,No,www.marseille.archi.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,marseille.archi.fr
FR0005,École supérieure d'art et de design Marseille-Mediterranée,public,Other,No,www.esadmm.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,esadmm.fr
FR0006,École centrale de Marseille,public,Other,No,www.centrale-marseille.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,centrale-marseille.fr
FR0007,Aix-Marseille université,public,University,Yes,www.univ-amu.fr,FRL0,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FRL04,Bouches-du-Rhône,Bouches-du-Rhône,univ-amu.fr
FR0008,Université de Caen Basse-Normandie,public,University,No,www.unicaen.fr,FRD1,Basse-Normandie ,Basse-Normandie ,FRD11,Calvados ,Calvados ,unicaen.fr
FR0009,École supérieure d'arts et médias de Caen - Cherbourg,public,Other,No,www.esam-c2.fr,FRD1,Basse-Normandie ,Basse-Normandie ,FRD11,Calvados ,Calvados ,esam-c2.fr
FR0010,École nationale supérieure d'ingénieurs de Caen,public,Other,No,www.ensicaen.fr,FRD1,Basse-Normandie ,Basse-Normandie ,FRD11,Calvados ,Calvados ,ensicaen.fr
FR0011,École supérieure d'ingénieurs des travaux de la construction de Caen,private,Other,No,www.esitc-caen.fr,FRD1,Basse-Normandie ,Basse-Normandie ,FRD11,Calvados ,Calvados ,esitc-caen.fr
FR0013,École d'ingénieurs en génie des systèmes industriels,private,Other,No,www.eigsi.fr,FRI3,Poitou-Charentes,Poitou-Charentes,FRI32,Charente-Maritime,Charente-Maritime,eigsi.fr
FR0014,Université de La Rochelle,public,University,Yes,www.univ-larochelle.fr,FRI3,Poitou-Charentes,Poitou-Charentes,FRI32,Charente-Maritime,Charente-Maritime,univ-larochelle.fr
FR0015,École nationale supérieure d'art de Bourges,public,Other,No,www.ensa-bourges.fr,FRB0,Centre — Val de Loire,Centre — Val de Loire,FRB01,Cher,Cher,ensa-bourges.fr
FR0017,École nationale supérieure d'art de Dijon,public,Other,No,www.ensa-dijon.fr,FRC1,Bourgogne,Bourgogne,FRC11,Côte-d’Or,Côte-d’Or,ensa-dijon.fr
FR0018,Université de Bourgogne,public,University,Yes,www.u-bourgogne.fr,FRC1,Bourgogne,Bourgogne,FRC11,Côte-d’Or,Côte-d’Or,u-bourgogne.fr
FR0020,"Institut national supérieur des sciences agronomiques, de l'alimentation et de l'environnement",public,Other,No,www.agrosupdijon.fr,FRC1,Bourgogne,Bourgogne,FRC11,Côte-d’Or,Côte-d’Or,agrosupdijon.fr
FR0021,École nationale supérieure de mécanique et des microtechniques,public,Other,No,www.ens2m.fr,FRC2,Franche-Comté,Franche-Comté,FRC21,Doubs,Doubs,ens2m.fr
FR0022,Université de Franche-Comté,public,University,No,www.univ-fcomte.fr,FRC2,Franche-Comté,Franche-Comté,FRC21,Doubs,Doubs,univ-fcomte.fr
FR0023,École nationale d'ingénieurs de Brest,public,Other,No,www.enib.fr,FRH0,Bretagne,Bretagne,FRH02,Finistère,Finistère,enib.fr
FR0024,École Navale,public,Other,No,www.ecole-navale.fr,FRH0,Bretagne,Bretagne,FRH02,Finistère,Finistère,ecole-navale.fr
FR0025,École nationale supérieure de techniques avancées Bretagne,public,Other,No,www.ensta-bretagne.fr,FRH0,Bretagne,Bretagne,FRH02,Finistère,Finistère,ensta-bretagne.fr
FR0026,Université de Bretagne Occidentale,public,University,Yes,www.univ-brest.fr,FRH0,Bretagne,Bretagne,FRH02,Finistère,Finistère,univ-brest.fr
FR0028,Institut supérieur de l'électronique et du numérique Brest,private,Other,No,isen-brest.fr,FRH0,Bretagne,Bretagne,FRH02,Finistère,Finistère,isen-brest.fr
FR0029,École des mines d'Alès,public,Other,No,www.mines-ales.fr,FRJ1,Languedoc-Roussillon,Languedoc-Roussillon,FRJ12,Gard,Gard,mines-ales.fr
FR0030,Université de Nîmes,public,University,No,www.unimes.fr,FRJ1,Languedoc-Roussillon,Languedoc-Roussillon,FRJ12,Gard,Gard,unimes.fr
FR0031,Institut supérieur des Arts de Toulouse,public,Other,No,www.isdat.eu,FRJ2,Midi-Pyrénées,Midi-Pyrénées,FRJ23,Haute-Garonne,Haute-Garonne,isdat.eu
FR0032,École nationale supérieure d'architecture de Toulouse,public,Other,No,www.toulouse.archi.fr,FRJ2,Midi-Pyrénées,Midi-Pyrénées,FRJ23,Haute-Garonne,Haute-Garonne,toulouse.archi.fr
FR0033,Institut national des sciences appliquées de Toulouse,public,Other,Yes,www.insa-toulouse.fr,FRJ2,Midi-Pyrénées,Midi-Pyrénées,FRJ23,Haute-Garonne,Haute-Garonne,insa-toulouse.fr
FR0034,École d'ingénieurs de Purpan,private,Other,No,www.purpan.fr,FRJ2,Midi-Pyrénées,Midi-Pyrénées,FRJ23,Haute-Garonne,Haute-Garonne,purpan.fr
FR0035,Institut catholique de Toulouse,private,Other,No,www.ict-toulouse.fr,FRJ2,Midi-Pyrénées,Midi-Pyrénées,FRJ23,Haute-Garonne,Haute-Garonne,ict-toulouse.fr
FR0036,École nationale de l'aviation civile,public,Other,No,www.enac.fr,FRJ2,Midi-Pyrénées,Midi-Pyrénées,FRJ23,Haute-Garonne,Haute-Garonne,enac.fr
FR0037,Institut national polytechnique de Toulouse,public,Other,Yes,www.inp-toulouse.fr,FRJ2,Midi-Pyrénées,Midi-Pyrénées,FRJ23,Haute-Garonne,Haute-Garonne,inp-toulouse.fr
FR0038,Université Toulouse 1 - Capitole,public,University,Yes,www.ut-capitole.fr,FRJ2,Midi-Pyrénées,Midi-Pyrénées,FRJ23,Haute-Garonne,Haute-Garonne,ut-capitole.fr
